Day,ctrl,ctrl,ctrl,20ng/ml IL-4,20ng/ml IL-4,20ng/ml IL-4,40ng/ml IL-4,40ng/ml IL-4,40ng/ml IL-4,80ng/ml IL-4,80ng/ml IL-4,80ng/ml IL-4,100ng/ml IL-4,100ng/ml IL-4,100ng/ml IL-4
0,7128,6724,6144,7276,5855,5898,7109,5877,6802,7314,6678,6119,6980,6758,6173
0.5,2026,1897,1794,8070,6997,6929,8386,8006,8536,8882,8204,8415,8339,8831,8344
1,2027,1835,1677,14650,12257,12115,15495,14402,15454,16768,14940,15178,16752,17091,15933
1.5,2183,2026,1563,20565,16697,15688,21982,20551,19745,23782,20456,20399,23677,23453,21300
2,1841,1641,1217,20167,16468,15380,21444,21515,19574,23356,19979,21139,23161,22975,21568
2.5,1938,1608,1209,20875,17011,15554,22254,23397,20279,25866,21322,22873,25108,24931,23108
3,1995,1662,1238,21410,17316,16127,23468,25011,20044,27813,22995,24688,26412,25938,24334
3.5,1563,1304,970,16301,13863,12537,18945,19448,15347,22376,17498,18611,20998,19068,17425
4,2080,1572,1196,17100,14812,14022,21070,22387,17830,25564,21232,23468,24661,23826,22917
4.5,2369,1697,1296,15219,13694,12519,19349,21868,16392,24486,20394,22106,23539,22537,21295
5,2551,1939,1342,14421,13032,11394,19111,20689,15621,24154,20177,21758,23838,22467,21274
6,2583,1863,1253,8068,7935,6888,12373,13245,9806,17283,14239,15112,17083,16357,14856
7,2482,1931,1292,5517,5657,4852,9230,8724,6511,12865,10490,11109,13047,12622,11166
8,2780,2212,1352,3894,3970,3297,6792,5956,4636,10223,8637,8802,10441,10374,8576
9,3060,2305,1555,2714,2814,2163,4806,4143,3233,8001,6568,6710,8196,8305,6583
10,3345,2362,1381,2023,2118,1475,3401,2816,2142,5631,4922,4602,5970,6357,4861
11,3360,2489,1451,1654,1736,1026,2371,1987,1520,4053,3401,3347,4387,4872,3662
12,3491,2534,1419,1559,1493,898,2004,1510,1062,3250,2655,2436,3420,3795,2720
13,3556,2598,1444,1404,1356,790,1683,1246,819,2431,2132,1817,2746,2910,2221
14,4075,2868,1522,1451,1282,619,1377,1036,665,1904,1662,1530,2189,2409,1852
15,4010,2970,1529,1297,1096,589,1182,878,674,1550,1339,1133,1715,1751,1405
16,4987,3471,1579,1433,1235,589,1157,850,510,1314,1218,1005,1499,1518,1246
17,4896,3391,1525,1454,1224,484,1058,744,483,1020,1018,762,1186,1187,1027
